ID,Speaker,utterance,annotation,list-ID
317,FAT,"non , ça on fait pas Adrien ! [media]","[NULL,NULL,NULL]",2
318,FAT,"on fait pas , Adrien , allez on enlève le tee_shirt , doucement , Adrien , oh oh ! [media]","[NULL,NULL,NULL]",1
318,FAT,"on fait pas , Adrien , allez on enlève le tee_shirt , doucement , Adrien , oh oh ! [media]","[NULL,NULL,NULL]",2
319,CHI,non enlever ça papa ! [media],"[NULL,NULL,NULL]",1
319,CHI,non enlever ça papa ! [media],"[NULL,NULL,NULL]",2
320,FAT,ah non il va pas enlever ça papa ! [media],"[NULL,NULL,NULL]",1
320,FAT,ah non il va pas enlever ça papa ! [media],"[NULL,NULL,NULL]",2
321,CHI,enlever ça ! [media],"[NULL,NULL,NULL]",1
321,CHI,enlever ça ! [media],"[NULL,NULL,NULL]",2
322,FAT,non . [media],"[NULL,NULL,NULL]",1
322,FAT,non . [media],"[NULL,NULL,NULL]",2
323,CHI,enlève ça ! [media],"[NULL,NULL,NULL]",1
323,CHI,enlève ça ! [media],"[NULL,NULL,NULL]",2
324,FAT,non . [media],"[NULL,NULL,NULL]",1
324,FAT,non . [media],"[NULL,NULL,NULL]",2
325,CHI,enlève ça ! [media],"[NULL,NULL,NULL]",1
325,CHI,enlève ça ! [media],"[NULL,NULL,NULL]",2
326,FAT,"si j'enlève ça on se déshabille et on se douche , si j'enlève , on se déshabille et on se douche ! [media]","[NULL,NULL,NULL]",1
326,FAT,"si j'enlève ça on se déshabille et on se douche , si j'enlève , on se déshabille et on se douche ! [media]","[NULL,NULL,NULL]",2
327,CHI,non yyy tape pas papa ! [media],"[NULL,NULL,NULL]",1
327,CHI,non yyy tape pas papa ! [media],"[NULL,NULL,NULL]",2
328,FAT,papa il se déshabille pas ? [media],"[NULL,NULL,NULL]",1
328,FAT,papa il se déshabille pas ? [media],"[NULL,NULL,NULL]",2
329,CHI,si déshabille ! [media],"[NULL,NULL,NULL]",1
329,CHI,si déshabille ! [media],"[NULL,NULL,NULL]",2
330,FAT,"et Adrien , il se déshabille alors ! [media]","[NULL,NULL,NULL]",1
330,FAT,"et Adrien , il se déshabille alors ! [media]","[NULL,NULL,NULL]",2
331,CHI,non ! [media],"[NULL,NULL,NULL]",1
331,CHI,non ! [media],"[NULL,NULL,NULL]",2
332,FAT,"non et ben tant pis , papa il se déshabille pas . [media]","[NULL,NULL,NULL]",1
332,FAT,"non et ben tant pis , papa il se déshabille pas . [media]","[NULL,NULL,NULL]",2
333,CHI,non ! [media],"[NULL,NULL,NULL]",1
333,CHI,non ! [media],"[NULL,NULL,NULL]",2
334,FAT,on . [media],"[NULL,NULL,NULL]",1
334,FAT,on . [media],"[NULL,NULL,NULL]",2
335,FAT,"oh regarde , t'as montré , c'est quoi tout ça là ? [media]","[NULL,NULL,NULL]",1
335,FAT,"oh regarde , t'as montré , c'est quoi tout ça là ? [media]","[NULL,NULL,NULL]",2
336,FAT,"t'as des , t'as des points , c'est quoi tout ça ? [media]","[NULL,NULL,NULL]",1
336,FAT,"t'as des , t'as des points , c'est quoi tout ça ? [media]","[NULL,NULL,NULL]",2
337,INV,c'est quoi ? [media],"[NULL,NULL,NULL]",1
337,INV,c'est quoi ? [media],"[NULL,NULL,NULL]",2
338,FAT,t'as montré à Naomi ce que c'était ? [media],"[NULL,NULL,NULL]",1
338,FAT,t'as montré à Naomi ce que c'était ? [media],"[NULL,NULL,NULL]",2
339,INV,t'as des boutons ? [media],"[NULL,NULL,NULL]",1
339,INV,t'as des boutons ? [media],"[NULL,NULL,NULL]",2
340,INV,c'est quoi les boutons ? [media],"[NULL,NULL,NULL]",1
340,INV,c'est quoi les boutons ? [media],"[NULL,NULL,NULL]",2
341,FAT,"pourquoi , c'est quoi ça ? [media]","[NULL,NULL,NULL]",1
341,FAT,"pourquoi , c'est quoi ça ? [media]","[NULL,NULL,NULL]",2
342,INV,c'est quoi ? [media],"[NULL,NULL,NULL]",1
342,INV,c'est quoi ? [media],"[NULL,NULL,NULL]",2
343,FAT,"non celui-ci il est normal , là ici , là , c'est quoi tout ça là ? [media]","[NULL,NULL,NULL]",1
